_step,response_length/simulation__codeio/mean,critic/rewards/max,response_length/mean,critic/rewards/mean,response_length/simulation__codeio/clip_ratio,critic/scores/simulation__codeio/mean,response_length/simulation__codeio/min,response_length/simulation__codeio/max,critic/rewards/min,response_length/min,critic/scores/simulation__codeio/min,response_length/clip_ratio,critic/scores/simulation__codeio/std,response_length/max,critic/scores/simulation__codeio/max,run_id,run_created_at,run_name
37,492.8409423828125,1,492.8409423828125,0.489501953125,0.0009765625,0.489501953125,56,8192,0,56,0,0.0009765625,0.4999202787876129,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
38,459.2257080078125,1,459.2257080078125,0.504150390625,0.0001220703125,0.504150390625,67,8192,0,67,0,0.0001220703125,0.5000132918357849,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
39,502.12451171875,1,502.12451171875,0.5106201171875,0.0003662109375,0.5106201171875,56,8192,0,56,0,0.0003662109375,0.4999177157878876,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,465.8778076171875,1,465.8778076171875,0.509521484375,0.0003662109375,0.509521484375,14,8192,0,14,0,0.0003662109375,0.49993985891342163,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
41,487.117919921875,1,487.117919921875,0.4459228515625,0.0003662109375,0.4459228515625,17,8192,0,17,0,0.0003662109375,0.4970974028110504,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
42,484.0517578125,1,484.0517578125,0.5235595703125,0.00048828125,0.5235595703125,54,8192,0,54,0,0.00048828125,0.4994751214981079,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
43,497.283203125,1,497.283203125,0.5384521484375,0.000732421875,0.5384521484375,57,8192,0,57,0,0.000732421875,0.4985496699810028,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
44,482.3050537109375,1,482.3050537109375,0.5364990234375,0.0003662109375,0.5364990234375,18,8192,0,18,0,0.0003662109375,0.4986964762210846,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,470.844482421875,1,470.844482421875,0.52490234375,0.000732421875,0.52490234375,52,8192,0,52,0,0.000732421875,0.4994099736213684,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
46,495.074951171875,1,495.074951171875,0.5233154296875,0.0010986328125,0.5233154296875,37,8192,0,37,0,0.0010986328125,0.4994865953922272,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
